PROVINCIA,EMPLEADOS,VENTAS,ENDEUDAMIENTO_CORTO_PLAZO,FONDO_MANIOBRA,FONDOS_PROPIOS,ScoreBinario,DummieConcursoAcreedores,DummieReclamaciones,DummieIncidencias,AñosConstitucion,CNAE_Categorias,$T-Bietápico,$O-Anomaly
BIZKAIA,10.000,1047493.250,86157.500,416558.050,89882.140,0,0,0,0,27.000,7,clúster-6,F
OURENSE,20.000,2217822.390,425959.120,1133093.950,1754786.690,0,0,0,0,34.000,7,clúster-5,F
ALICANTE,2.000,302887.050,138469.510,34534.290,60587.580,0,0,0,0,16.000,3,clúster-4,F
OURENSE,1.000,0.000,20216.790,807328.960,882222.580,0,0,0,0,29.000,14,clúster-5,F
GIPUZKOA,1.000,313003.720,98133.160,119901.860,119901.860,0,0,0,0,35.000,7,clúster-5,F
BARCELONA,7.000,559441.230,107621.860,281799.100,616372.260,0,0,0,0,29.000,7,clúster-5,F
ZARAGOZA,3.000,412538.320,39206.020,1297945.400,7367847.460,0,0,0,0,20.000,12,clúster-8,F
GRANADA,1.000,1678888.500,121018.110,623854.320,681922.470,0,0,1,0,24.000,7,clúster-6,F
SANTA CRUZ DE TENERIFE,9.000,611701.430,59694.950,506552.280,4525938.180,0,0,0,0,23.000,6,clúster-7,F
OURENSE,2.000,90103.820,13667.930,3714.300,29370.450,0,0,0,0,25.000,16,clúster-6,F
BARCELONA,3.000,174169.290,58502.400,-32999.660,-11541.300,0,0,0,0,17.000,7,clúster-4,F
BIZKAIA,1.000,106681.230,61130.150,-5214.150,17480.930,0,0,0,0,15.000,19,clúster-3,F
BARCELONA,1.000,189277.030,15599.070,57561.560,97342.790,0,0,0,0,25.000,7,clúster-6,F
ALICANTE,5.000,3626524.610,1736324.770,334209.850,1091002.490,0,0,0,0,20.000,7,clúster-8,F
CACERES,2.000,240072.060,2296.550,87408.450,123473.290,0,0,0,0,22.000,7,clúster-7,F
BARCELONA,2.000,375580.180,57502.080,53822.780,66475.500,0,0,0,0,25.000,13,clúster-6,F
No Disponible,3.000,147535.090,143112.270,54598.400,121986.980,0,0,0,0,18.000,9,clúster-4,F
BURGOS,1.000,0.000,95199.560,-95198.510,-77138.650,1,0,1,0,19.000,7,clúster-8,T
AVILA,0.000,44032.640,450381.300,-43839.940,124485.150,0,0,0,0,16.000,6,clúster-4,F
CANTABRIA,2.000,230213.850,481505.160,-284787.820,-171070.830,0,0,0,0,23.000,3,clúster-7,F
ASTURIAS,4.000,192292.600,43510.140,-498.640,8522.510,0,0,0,0,19.000,18,clúster-8,F
BARCELONA,1.000,284592.000,131562.360,37724.200,47707.540,0,0,0,0,24.000,8,clúster-6,F
GIPUZKOA,1.000,95700.400,7054.540,270375.820,355879.090,0,0,0,0,25.000,18,clúster-6,F
ASTURIAS,3.000,454834.000,125307.110,110151.320,184509.520,0,0,0,0,27.000,7,clúster-6,F
ASTURIAS,18.000,3687276.850,1709502.760,832185.790,1055694.510,0,0,0,0,14.000,3,clúster-3,F
BARCELONA,2.000,365499.710,29394.170,67590.500,60215.510,0,0,0,0,23.000,17,clúster-7,F
SANTA CRUZ DE TENERIFE,7.000,339227.670,128311.750,-17491.530,17915.990,0,0,0,0,18.000,6,clúster-4,F
ALBACETE,22.000,2736758.050,636969.740,868855.540,494241.590,0,0,0,0,23.000,2,clúster-7,F
BURGOS,40.000,1606677.980,500770.960,-495416.200,1255788.850,0,0,0,0,16.000,17,clúster-4,F
BIZKAIA,1.000,92300.000,149877.100,866208.780,1815374.200,0,0,0,0,20.000,13,clúster-8,F
